original,substitution
Rousette,altesse
riddu,grillo
Abundante,grenache
Aleante,grenache
Aleantedi Rivalto,grenache
Aleante Poggiarelli,grenache
Alicant Blau,grenache
Alicante,grenache
Alicante Grenache,grenache
Aragones,grenache
Bois Jaune,grenache
Cannonaddu,grenache
Cannonadu Nieddu,grenache
Cannonau,grenache
Cannonau Selvaggio,grenache
Canonazo,grenache
Carignane rosso,grenache
Elegante,grenache
Francese,grenache
Gamay del Trasimeno,grenache
Garnaccho negro,grenache
Garnacha Comun,grenache
Garnacha negra,grenache
Garnacha Roja,grenache
Garnacha tinta,grenache
Garnatxa negra,grenache
Garnatxa Pais,grenache
Gironet,grenache
Granaccia,grenache
Granaxa,grenache
Grenache noir,grenache
Grenache rouge,grenache
Kek Grenache,grenache
Lladoner,grenache
Mencida,grenache
Navaro,grenache
Navarra,grenache
Navarre de la Dordogne,grenache
Navarro,grenache
Negru Calvese,grenache
Ranconnat,grenache
Red Grenache,grenache
Redondal,grenache
Retagliadu Nieddu,grenache
Rivesaltes,grenache
Roussillon Tinto,grenache
Roussillon,grenache
Rouvaillard,grenache
Sans Pareil,grenache
Santa Maria de Alcantara,grenache
Tentillo,grenache
Tintella,grenache
Tintilla,grenache
Tinto Menudo,grenache
Tinto Navalcarnero,grenache
Tocai rosso,grenache
Toledana,grenache
Uva di Spagna,grenache
Blanc de Blancs,chardonnay
Arboisier,chardonnay
Arnaison blanc,chardonnay
Arnoison,chardonnay
Aubain,chardonnay
Aubaine,chardonnay
Auvergnat blanc,chardonnay
Auvernas,chardonnay
Auvernas blanc,chardonnay
Auvernat blanc,chardonnay
Auxeras,chardonnay
Auxerras blanc,chardonnay
Auxerrois blanc,chardonnay
Auxois,chardonnay
Auxois blanc,chardonnay
Bargeois blanc,chardonnay
Beaunois,chardonnay
Biela Klevanjika,chardonnay
Blanc de Champagne,chardonnay
Blanc de Cramant,chardonnay
Breisgauer Suessling,chardonnay
Breisgauer Sussling,chardonnay
Burgundi Feher,chardonnay
